sourceCurrency,targetCurrency,sourceAmount
BHD,PLN,81783.25
JPY,AUD,23.6
NOK,ZAR,395.44
SAR,DKK,6507.16
THB,PHP,74.99
QAR,THB,642.03
SAR,EUR,38.62
PLN,HUF,75.73
KWD,VND,645.53
MYR,SEK,16.87
MXN,SAR,9371.63
CZK,INR,77.35
AUD,AED,4347.37
JPY,NOK,9655.92
BRL,ILS,95.88
RUB,THB,429.74
NZD,USD,630.74
MXN,SAR,3979.37
NOK,HKD,183.39
MXN,TRY,17.47
ILS,SAR,9987.05
KWD,KRW,99.99
ZAR,BRL,799.15
INR,NOK,80.31
USD,HUF,2080.95
KWD,HKD,83.83
ILS,PLN,353.25
THB,RUB,28.76
NOK,PLN,15.55
MYR,SAR,5486.86
AED,SEK,928.17
QAR,ZAR,477.57
IDR,ZAR,82.79
INR,RON,2644.03
SGD,NOK,12.82
ILS,KRW,87.94
CAD,ZAR,685.88
USD,QAR,29.89
ZAR,KRW,6288.99
VND,CHF,17.53
TRY,SGD,604.04
BHD,RON,64.6
USD,MYR,71.62
EUR,PHP,634.98
DKK,BRL,942.07
ZAR,MYR,12.71
ZAR,AED,92.22
INR,OMR,334.69
MYR,DKK,64741.69
HKD,MXN,3629.29
CZK,HKD,26.42
OMR,ZAR,474.8
HUF,MYR,208.31
THB,HRK,309.13
INR,HRK,84.26
BHD,THB,421.65
QAR,CNY,244.61
CZK,CAD,627.71
CNY,HUF,673.01
KRW,THB,1557.05
PHP,TRY,1150.68
BRL,CHF,527.63
NZD,DKK,2242.95
PHP,RUB,72751.01
SAR,IDR,10.52
BRL,THB,33.1
EUR,MXN,200.33
OMR,ZAR,349.16
SAR,AED,21.66
INR,PLN,1790.54
NOK,PHP,98.0
BHD,DKK,58.1
KWD,NZD,118.75
HUF,RUB,88.35
MYR,RON,68.87
OMR,CHF,214.7
HRK,AED,20946.0
NZD,ZAR,952.87
IDR,EUR,2053.23
CHF,ZAR,783.15
PLN,CNY,799.31
CZK,HKD,87.53
HUF,CNY,966.73
HRK,EUR,413.93
ILS,CZK,15.84
NOK,EUR,2760.05
ILS,CAD,9483.53
SEK,KWD,34.03
DKK,CAD,4778.49
INR,CAD,1109.05
NOK,HKD,43750.74
MYR,THB,125.46
ZAR,PHP,7171.47
MXN,HUF,67.07
ILS,KWD,66.89
OMR,NZD,3722.55
SGD,RON,29.6
MXN,AED,82.45
THB,ILS,783.61
PLN,AUD,13.6
RUB,BRL,7313.47
HKD,HRK,666.3
USD,CZK,7022.5
HUF,SAR,527.36
JPY,SAR,658.53
GBP,BHD,976.43
BRL,SAR,54526.93
MXN,AED,762.36
BRL,DKK,20.83
RUB,CAD,75.84
BHD,OMR,566.48
KWD,HUF,160.4
BRL,ZAR,78.3
HRK,CNY,79.88
VND,INR,330.44
PHP,KRW,17.13
PHP,ILS,122.31
MYR,EUR,87.85
JOD,USD,44.96
HKD,BHD,327.39
RUB,ILS,257.51
JPY,CNY,4674.34
RUB,SEK,7331.33
BRL,VND,815.73
BGN,AED,192.95
BHD,TRY,37.45
SGD,ILS,505.36
JPY,USD,91.22
ZAR,INR,36.04
PHP,BHD,75.77
KRW,SGD,5532.34
USD,KWD,564.32
USD,CHF,3496.68
DKK,AED,641.25
MYR,RON,102.28
USD,EUR,132.05
KRW,SAR,9514.73
CNY,RON,65.15
CNY,RUB,182.81
IDR,BHD,783.94
SAR,JOD,36.01
AED,BGN,202.77
SAR,BGN,65.94
KWD,CAD,48.69
DKK,SAR,25.26
HKD,ILS,73.44
BHD,KRW,343.72
HKD,IDR,190.78
KRW,AED,59.97
MXN,USD,95758.25
USD,DKK,194.37
CNY,ZAR,20.64
BRL,QAR,23.03
VND,KWD,26496.18
MXN,KRW,332.44
PLN,CAD,4815.55
DKK,AED,56.79
PHP,GBP,6008.79
GBP,AED,63.84
VND,OMR,567.8
SAR,PLN,94.84
SEK,QAR,71.28
NOK,HKD,93.94
SAR,CHF,1118.07
EUR,RUB,41.13
EUR,SEK,619.4
AUD,NZD,32.32
DKK,PHP,21.78
DKK,IDR,131.88
PHP,EUR,540.08
HRK,MXN,4444.35
RUB,MYR,2486.41
JOD,ILS,88.98
INR,HUF,292.75
VND,GBP,624.03
GBP,BRL,21.95
KRW,ILS,471.21
CHF,THB,38.66
THB,OMR,910.52
SGD,NZD,30.29
QAR,BHD,4347.25
HKD,DKK,76.04
AUD,EUR,913.98
GBP,SEK,93.94
HKD,IDR,94.05
QAR,VND,12.98
SGD,ILS,2378.1
SGD,BRL,76.86
ZAR,USD,329.81
CHF,VND,7306.4
CHF,OMR,83.35
KWD,TRY,90.15
QAR,NOK,9290.86
BGN,CZK,61.2
ILS,CZK,892.65
SGD,THB,3945.38
MYR,CNY,67.05
CZK,TRY,447.99
JPY,NZD,89.84
AUD,RON,44.05
KWD,MXN,8267.44
CAD,NZD,690.07
RON,NZD,78.13
USD,THB,4963.14
BGN,GBP,217.13
USD,IDR,29.8
USD,OMR,26.73
HKD,ILS,936.66
JOD,THB,66.73
AUD,OMR,2929.34
SGD,HKD,23.37
CZK,HUF,32.87
HRK,HUF,83.28
RUB,AUD,163.72
INR,PHP,84.68
BGN,CHF,20044.01
USD,BGN,983.73
OMR,RON,9398.56
TRY,SEK,7462.81
TRY,HUF,903.53
BHD,RON,474.25
THB,SEK,8238.16
DKK,TRY,51.23
HUF,TRY,65.97
CHF,MXN,8038.74
MXN,HKD,14.74
KRW,OMR,10.96
HKD,KWD,62.32
NZD,JOD,47.08
OMR,KRW,91.06
AUD,JOD,69.23
SGD,AED,67.78
USD,BHD,109.2
HKD,OMR,864.9
RON,USD,51.76
JOD,BHD,87.71
RUB,JPY,8213.96
JPY,MXN,724.45
ZAR,AUD,31.9
CNY,ILS,8511.84
THB,SGD,97.19
PHP,VND,421.02
ILS,THB,16.24
BHD,IDR,710.48
ILS,HRK,544.1
PHP,CZK,30.34
GBP,BHD,295.15
QAR,RUB,377.25
IDR,ZAR,39.38
HRK,AED,33627.86
USD,KRW,95.11
AED,HKD,3225.09
JPY,TRY,242.88
MXN,VND,5236.61
BHD,DKK,782.26
JOD,SAR,5783.52
RON,INR,15.37
CNY,SAR,4928.21
SGD,CHF,2960.33
BRL,GBP,459.38
TRY,THB,57.61
CAD,INR,90506.23
GBP,IDR,1161.66
SAR,PHP,34.96
CNY,JPY,44374.06
BRL,TRY,5049.1
VND,EUR,194.09
SGD,MYR,67.97
DKK,CZK,15.04
OMR,TRY,94.84
SGD,NOK,759.8
SGD,CZK,17.98
SAR,ZAR,16262.54
NOK,DKK,838.63
AED,EUR,353.51
HRK,TRY,12.91
JPY,THB,197.75
RON,RUB,85.37
CHF,RON,112.75
RON,RUB,44.21
USD,CHF,52.97
BRL,HUF,80.25
GBP,JOD,14.52
CNY,AED,895.57
IDR,EUR,97.42
QAR,ILS,739.71
SGD,BGN,5271.18
THB,RUB,6254.71
CAD,ILS,87.9
OMR,BGN,9822.95
RUB,JPY,14.27
ZAR,JPY,59.49
IDR,RUB,19.57
THB,TRY,641.54
SGD,ZAR,48.21
MYR,HRK,7212.19
BHD,NOK,816.05
CZK,KWD,76.84
JOD,PLN,867.49
NZD,EUR,221.93
HKD,PLN,807.44
GBP,ZAR,910.98
CAD,HRK,9488.53
RON,HUF,304.44
IDR,JPY,470.96
AED,JPY,665.86
JOD,KWD,497.22
VND,DKK,25.96
IDR,SGD,349.48
SEK,KWD,7571.48
JOD,THB,93.71
ZAR,AED,757.4
HUF,JOD,7211.64
AED,USD,50.63
ILS,MYR,3983.43
HRK,DKK,85.3
AUD,RON,55.96
AED,BHD,738.14
MXN,SAR,5482.69
HKD,HRK,72.63
JOD,QAR,76.27
IDR,CAD,47.26
BHD,PHP,94.47
OMR,CZK,239.91
AUD,PLN,903.98
NZD,PHP,778.59
INR,IDR,546.26
VND,CNY,69794.59
AUD,BHD,462.39
MXN,PHP,83.47
CHF,BGN,7891.99
AED,HKD,468.33
TRY,SGD,819.53
HRK,NZD,62.61
TRY,BHD,473.06
BRL,ILS,8928.42
SGD,HRK,68.44
SGD,JPY,278.41
OMR,EUR,95.38
IDR,SEK,28.7
ILS,ZAR,44.26
EUR,NZD,5648.75
SGD,BRL,688.77
AED,PHP,1190.51
HUF,MXN,252.23
KRW,USD,805.64
TRY,CNY,259.48
QAR,ILS,3855.72
MXN,MYR,3373.86
AED,MXN,438.24
HKD,ZAR,25.62
CHF,CZK,7969.72
OMR,MYR,90.61
HKD,IDR,86.75
EUR,USD,49.27
CAD,SGD,75.18
AED,HUF,775.94
HKD,AUD,11.67
TRY,OMR,24385.3
PHP,MXN,55.54
AUD,BHD,29.07
BGN,HKD,41100.35
RON,AUD,25.72
HUF,IDR,94.76
HKD,PHP,57800.21
GBP,BHD,42.92
NZD,MXN,73.35
CZK,QAR,386.18
SEK,RUB,59.96
INR,ZAR,16.47
RON,SEK,13.5
EUR,RON,823.79
VND,HRK,461.33
